b'LoRa Receiver\r\
b'LoRa Initializing OK!\r\
b"Received packet 'Sender 2:,84, S2M1:,44.39,S2M2: ,37.93,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,79, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,85, S2M1:,45.58,S2M2: ,38.93,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,80, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,86, S2M1:,44.16,S2M2: ,37.93,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,81, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,87, S2M1:,43.24,S2M2: ,37.15,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,82, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,88, S2M1:,43.02,S2M2: ,36.95,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,83, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,89, S2M1:,42.34,S2M2: ,36.38,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,84, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,90, S2M1:,41.68,S2M2: ,36.00,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,85, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,91, S2M1:,39.97,S2M2: ,34.72,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,86, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,92, S2M1:,39.97,S2M2: ,34.72,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,87, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,93, S2M1:,40.60,S2M2: ,35.08,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 2:,94, S2M1:,42.12,S2M2: ,36.00,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,89, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,95, S2M1:,44.16,S2M2: ,37.73,S2T1: ,-127.00,S2T2: ,-127.00\r\
